Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist,Return,Roll_Return_20,Roll_Vol_20,Regime,Regime_Bear,Regime_Bull,Regime_Sideways
2014-10-16,29982.45,30124.28,30195.61,29943.67,80320000.0,-0.46,71.19997517714438,30064.57738290735,29860.355642375747,204.22174053160413,232.821280970752,-28.59954043914786,-0.004599450416470363,-0.0001289852253071544,0.005986386215507865,Bear,True,False,False
2014-10-17,29883.1,29992.15,30162.64,29839.36,84660000.0,-0.33,68.81769223635267,30036.65778553699,29862.04040960717,174.61737592981808,221.1804999625652,-46.56312403274714,-0.0033136051256652532,-0.0004778539147631378,0.005956960603947263,Bear,True,False,False
2014-10-20,29711.12,29922.38,29925.18,29672.97,59830000.0,-0.58,64.77723371403272,29986.57504930053,29850.86112000664,135.7139292938882,204.08718582882983,-68.37325653494162,-0.005755092343163848,-0.000693160610595167,0.006070642362155067,Bear,True,False,False
2014-10-21,29694.27,29751.27,29928.11,29640.34,71040000.0,-0.06,64.3784132263086,29941.605041715837,29839.26177778393,102.34326393190712,183.7384014494453,-81.39513751753816,-0.0005671277286080079,-0.0006511539796018873,0.006068347255292036,Bear,True,False,False
2014-10-22,29940.39,29802.81,30025.82,29802.81,110960000.0,0.83,67.52365406458071,29941.418112221087,29846.75275720734,94.66535501374528,165.9237921623053,-71.25843714856,0.008288467775096064,-0.00010653921816879408,0.006365382232948231,Bear,True,False,False
2014-10-23,30025.13,29956.33,30049.22,29938.26,108460000.0,0.28,68.55319451724739,29954.296864187072,29859.965886303093,94.33097788397936,151.6052293066401,-57.27425142266074,0.0028302904537984563,7.150606498728118e-05,0.0063967311704842735,Bull,False,True,False
2014-10-24,30098.49,30048.9,30242.17,30048.9,113370000.0,0.24,69.45592635856791,29976.480423542907,29877.63433916953,98.84608437337738,141.05340031998756,-42.20731594661018,0.0024432866735297765,-5.6213994380549526e-05,0.0063182153192136254,Bear,True,False,False
2014-10-27,30238.96,30131.49,30253.85,30113.32,90050000.0,0.47,71.16295914589311,30016.861896844,29904.39920293475,112.46269390924864,135.3352590378398,-22.87256512859116,0.004667011534465582,0.0002567052627035493,0.006392721299750328,Bull,False,True,False
2014-10-28,30225.62,30273.44,30367.69,30198.17,101470000.0,-0.04,70.75852241568724,30048.97852809877,29928.193336050696,120.78519204807526,132.4252456398869,-11.640053591811636,-0.00044115273805711563,0.0004930391621612463,0.00626777542821441,Bull,False,True,False
2014-10-29,30113.24,30288.21,30349.45,30083.6,169320000.0,-0.37,67.28908470979707,30058.864908391268,29941.90049634324,116.96441204802976,129.3330789215155,-12.368666873485694,-0.003718037876476843,0.0006989507022175934,0.006043365118006621,Bull,False,True,False
2014-10-30,30204.09,30139.06,30259.75,30103.91,81190000.0,0.3,68.62826622723256,30081.207230177228,29961.321941058555,119.88528911867252,127.44352096094688,-7.558231842274353,0.0030169453702091342,0.0013926576624028685,0.005410161068035143,Bull,False,True,False
2014-10-31,30376.53,30271.69,30384.21,30205.9,74530000.0,0.57,71.05085787086787,30126.641502457653,29992.078093572734,134.56340888491468,128.86749854574043,5.695910339174247,0.0057091605805703605,0.001094005012957039,0.004958248743450811,Bull,False,True,False
2014-11-05,30593.31,30398.05,30704.95,30398.05,133850000.0,0.71,73.79091395289879,30198.436655925703,30036.613790345127,161.82286558057604,135.45857195270756,26.36429362786848,0.00713643065880154,0.000996314578584573,0.004809424176004278,Bull,False,True,False
2014-11-06,30663.78,30626.75,30821.29,30614.4,211620000.0,0.23,74.63151144345079,30270.027939629443,30083.070546615854,186.9573930135848,145.75833616488302,41.19905684870179,0.0023034447727297014,0.0009865226962753881,0.004806401523988355,Bull,False,True,False
