Date,EPU
2015-11-21,42.3111148
2015-11-22,42.3111148
2015-11-23,42.3111148
2015-11-24,42.3111148
2015-11-25,42.3111148
2015-11-26,42.3111148
2015-11-27,42.3111148
2015-11-28,42.3111148
2015-11-29,42.3111148
2015-11-30,42.3111148
2015-12-01,44.32942877
2015-12-02,44.32942877
2015-12-03,44.32942877
2015-12-04,44.32942877
2015-12-05,44.32942877
2015-12-06,44.32942877
2015-12-07,44.32942877
2015-12-08,44.32942877
2015-12-09,44.32942877
2015-12-10,44.32942877
2015-12-11,44.32942877
2015-12-12,44.32942877
2015-12-13,44.32942877
2015-12-14,44.32942877
2015-12-15,44.32942877
2015-12-16,44.32942877
2015-12-17,44.32942877
2015-12-18,44.32942877
2015-12-19,44.32942877
2015-12-20,44.32942877
2015-12-21,44.32942877
2015-12-22,44.32942877
2015-12-23,44.32942877
2015-12-24,44.32942877
2015-12-25,44.32942877
2015-12-26,44.32942877
2015-12-27,44.32942877
2015-12-28,44.32942877
2015-12-29,44.32942877
2015-12-30,44.32942877
2015-12-31,44.32942877
2016-01-01,32.97007821
2016-01-02,32.97007821
2016-01-03,32.97007821
2016-01-04,32.97007821
2016-01-05,32.97007821
2016-01-06,32.97007821
2016-01-07,32.97007821
2016-01-08,32.97007821
2016-01-09,32.97007821
2016-01-10,32.97007821
2016-01-11,32.97007821
2016-01-12,32.97007821
2016-01-13,32.97007821
2016-01-14,32.97007821
2016-01-15,32.97007821
2016-01-16,32.97007821
2016-01-17,32.97007821
2016-01-18,32.97007821
2016-01-19,32.97007821
2016-01-20,32.97007821
2016-01-21,32.97007821
2016-01-22,32.97007821
2016-01-23,32.97007821
2016-01-24,32.97007821
2016-01-25,32.97007821
2016-01-26,32.97007821
2016-01-27,32.97007821
2016-01-28,32.97007821
2016-01-29,32.97007821
2016-01-30,32.97007821
2016-01-31,32.97007821
2016-02-01,40.15397179
2016-02-02,40.15397179
2016-02-03,40.15397179
2016-02-04,40.15397179
2016-02-05,40.15397179
2016-02-06,40.15397179
2016-02-07,40.15397179
2016-02-08,40.15397179
2016-02-09,40.15397179
2016-02-10,40.15397179
2016-02-11,40.15397179
2016-02-12,40.15397179
2016-02-13,40.15397179
2016-02-14,40.15397179
2016-02-15,40.15397179
2016-02-16,40.15397179
2016-02-17,40.15397179
2016-02-18,40.15397179
2016-02-19,40.15397179
2016-02-20,40.15397179
2016-02-21,40.15397179
2016-02-22,40.15397179
2016-02-23,40.15397179
2016-02-24,40.15397179
2016-02-25,40.15397179
2016-02-26,40.15397179
2016-02-27,40.15397179
2016-02-28,40.15397179
2016-02-29,40.15397179
2016-03-01,36.17503303
2016-03-02,36.17503303
2016-03-03,36.17503303
2016-03-04,36.17503303
2016-03-05,36.17503303
2016-03-06,36.17503303
2016-03-07,36.17503303
2016-03-08,36.17503303
2016-03-09,36.17503303
2016-03-10,36.17503303
2016-03-11,36.17503303
2016-03-12,36.17503303
2016-03-13,36.17503303
2016-03-14,36.17503303
2016-03-15,36.17503303
2016-03-16,36.17503303
2016-03-17,36.17503303
2016-03-18,36.17503303
2016-03-19,36.17503303
2016-03-20,36.17503303
2016-03-21,36.17503303
2016-03-22,36.17503303
2016-03-23,36.17503303
2016-03-24,36.17503303
2016-03-25,36.17503303
2016-03-26,36.17503303
2016-03-27,36.17503303
2016-03-28,36.17503303
2016-03-29,36.17503303
2016-03-30,36.17503303
2016-03-31,36.17503303
2016-04-01,30.02175999
2016-04-02,30.02175999
2016-04-03,30.02175999
2016-04-04,30.02175999
2016-04-05,30.02175999
2016-04-06,30.02175999
2016-04-07,30.02175999
2016-04-08,30.02175999
2016-04-09,30.02175999
2016-04-10,30.02175999
2016-04-11,30.02175999
2016-04-12,30.02175999
2016-04-13,30.02175999
2016-04-14,30.02175999
2016-04-15,30.02175999
2016-04-16,30.02175999
2016-04-17,30.02175999
2016-04-18,30.02175999
2016-04-19,30.02175999
2016-04-20,30.02175999
2016-04-21,30.02175999
2016-04-22,30.02175999
2016-04-23,30.02175999
2016-04-24,30.02175999
2016-04-25,30.02175999
2016-04-26,30.02175999
2016-04-27,30.02175999
2016-04-28,30.02175999
2016-04-29,30.02175999
2016-04-30,30.02175999
2016-05-01,44.15577997
2016-05-02,44.15577997
2016-05-03,44.15577997
2016-05-04,44.15577997
2016-05-05,44.15577997
2016-05-06,44.15577997
2016-05-07,44.15577997
2016-05-08,44.15577997
2016-05-09,44.15577997
2016-05-10,44.15577997
2016-05-11,44.15577997
2016-05-12,44.15577997
2016-05-13,44.15577997
2016-05-14,44.15577997
2016-05-15,44.15577997
2016-05-16,44.15577997
2016-05-17,44.15577997
2016-05-18,44.15577997
2016-05-19,44.15577997
2016-05-20,44.15577997
2016-05-21,44.15577997
2016-05-22,44.15577997
2016-05-23,44.15577997
2016-05-24,44.15577997
2016-05-25,44.15577997
2016-05-26,44.15577997
2016-05-27,44.15577997
2016-05-28,44.15577997
2016-05-29,44.15577997
2016-05-30,44.15577997
2016-05-31,44.15577997
2016-06-01,55.66437913
2016-06-02,55.66437913
2016-06-03,55.66437913
2016-06-04,55.66437913
2016-06-05,55.66437913
2016-06-06,55.66437913
2016-06-07,55.66437913
2016-06-08,55.66437913
2016-06-09,55.66437913
2016-06-10,55.66437913
2016-06-11,55.66437913
2016-06-12,55.66437913
2016-06-13,55.66437913
2016-06-14,55.66437913
2016-06-15,55.66437913
2016-06-16,55.66437913
2016-06-17,55.66437913
2016-06-18,55.66437913
2016-06-19,55.66437913
2016-06-20,55.66437913
2016-06-21,55.66437913
2016-06-22,55.66437913
2016-06-23,55.66437913
2016-06-24,55.66437913
2016-06-25,55.66437913
2016-06-26,55.66437913
2016-06-27,55.66437913
2016-06-28,55.66437913
2016-06-29,55.66437913
2016-06-30,55.66437913
2016-07-01,66.26226163
2016-07-02,66.26226163
2016-07-03,66.26226163
2016-07-04,66.26226163
2016-07-05,66.26226163
2016-07-06,66.26226163
2016-07-07,66.26226163
2016-07-08,66.26226163
2016-07-09,66.26226163
2016-07-10,66.26226163
2016-07-11,66.26226163
2016-07-12,66.26226163
2016-07-13,66.26226163
2016-07-14,66.26226163
2016-07-15,66.26226163
2016-07-16,66.26226163
2016-07-17,66.26226163
2016-07-18,66.26226163
2016-07-19,66.26226163
2016-07-20,66.26226163
2016-07-21,66.26226163
2016-07-22,66.26226163
2016-07-23,66.26226163
2016-07-24,66.26226163
2016-07-25,66.26226163
2016-07-26,66.26226163
