Date,Close,Open,High,Low,Volume,Change,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2025-02-26,113862.33,114580.4,114762.93,113849.93,333210000.0,-0.58,52.6074483460052,113339.32029858368,113397.640948024,-58.32064944031299,-408.334634427965,350.013984987652
2025-02-27,113784.31,114045.13,114456.92,113729.53,207290000.0,-0.07,52.198481940949264,113407.78025264773,113426.2831000222,-18.502847374475095,-330.368277017267,311.8654296427919
2025-02-28,113251.67,113890.68,114265.97,113201.84,231450000.0,-0.47,49.376383313218916,113383.76329070193,113413.34879631686,-29.585505614930298,-270.2117227367997,240.6262171218694
2025-03-03,111986.89,113498.58,113591.83,111829.15,108000000.0,-1.12,43.3790250049717,113168.85970751701,113307.68518177487,-138.82547425785742,-243.93447304101124,105.10899878315382
2025-03-04,112743.8,112106.68,112877.02,111717.17,101170000.0,0.68,47.48957724613696,113103.46590636055,113265.9159090508,-162.4500026902533,-227.6375789708597,65.18757628060638
2025-03-05,112253.76,112952.94,113327.12,112146.1,152190000.0,-0.43,45.20161551066539,112972.74192076661,113190.94139726927,-218.19947650266113,-225.74995847722,7.550481974558863
2025-03-06,113713.18,112506.52,113871.22,112446.01,240890000.0,1.3,52.53577417054923,113086.65547141791,113229.62573821229,-142.9702667943784,-209.19402014065167,66.22375334627327
2025-03-07,114398.7,114169.2,114721.58,114169.2,233230000.0,0.6,55.545473126718505,113288.50847581515,113316.22383167804,-27.715355862892466,-172.89828728509985,145.1829314222074
2025-03-10,114356.34,114432.8,115048.42,114152.31,165910000.0,-0.04,55.312075135915585,113452.79024876667,113393.26947377596,59.52077499071311,-126.41447482993726,185.93524982065037
2025-03-11,114177.66,114180.1,114486.2,113610.31,171980000.0,-0.16,54.276070926965794,113564.30867203334,113451.37247571848,112.9361963148549,-78.54434060097883,191.48053691583374
2025-03-12,114084.54,114503.4,114661.89,114001.5,128440000.0,-0.08,53.71144590787979,113644.34426095129,113498.2737738134,146.0704871378839,-33.621375053206286,179.6918621910902
2025-03-13,115094.24,114429.93,115247.4,114429.93,210930000.0,0.89,58.725279649780994,113867.40514388186,113616.49349427166,250.9116496101924,23.285229879473455,227.62641973071894
2025-03-14,115536.17,115705.29,115730.98,115162.69,205480000.0,0.38,60.73021620948161,114124.13819866926,113758.69175395525,365.44644471400534,91.71747284637985,273.7289718676255
2025-03-17,116199.59,116012.73,116626.83,115883.22,286470000.0,0.57,63.58953440123254,114443.43847579707,113939.49903144005,503.93944435701997,174.1618671485079,329.77757720851207
2025-03-18,117001.09,116657.45,117202.1,116490.82,274470000.0,0.69,66.74033883413007,114836.92332567443,114166.28354762968,670.6397780447587,273.45744932775807,397.18232871700064
2025-03-19,117974.03,117198.36,118243.63,116882.8,301110000.0,0.83,70.12048845284217,115319.55512172452,114448.33884039785,871.2162813266768,393.00921572754186,478.207065599135
2025-03-20,118769.77,118525.01,119421.81,118444.04,401600000.0,0.67,72.57536042069883,115850.35741068999,114768.44485222021,1081.9125584697758,530.7898842759887,551.1226741937871
2025-03-21,118442.18,119078.91,119405.92,118334.4,172210000.0,-0.28,70.0247107855387,116249.09934750691,115040.57338168538,1208.5259658215364,666.3371005850983,542.1888652364381
2025-03-24,116439.62,118797.7,118797.7,116257.52,167110000.0,-1.69,56.86746324722768,116278.41021712124,115144.2064645235,1134.2037525977503,759.9104309876287,374.29332161012155
2025-03-25,116633.17,116375.71,116904.55,115877.88,158060000.0,0.17,57.694832659196024,116332.98864525644,115254.50005974398,1078.4885855124594,823.6260618925949,254.86252361986453
2025-03-26,117772.31,117935.8,118220.88,117178.23,231390000.0,0.98,62.280749019479636,116554.42269983237,115441.00449976294,1113.4182000694273,881.5844895279614,231.83371054146585
2025-03-27,117806.75,118037.7,118147.25,117551.42,193470000.0,0.03,62.41340791805723,116747.0884383197,115616.24490718791,1130.843531131788,931.4362978487268,199.40723328306126
2025-04-03,118938.11,117873.59,119179.46,117508.07,201030000.0,0.96,66.57250893763091,117084.16867857821,115862.30898813695,1221.8596904412552,989.5209763672326,232.33871407402262
2025-04-04,118791.66,119155.22,120796.67,118718.26,313410000.0,-0.12,65.56119356408442,117346.85965110463,116079.29795197866,1267.561699125974,1045.129120918981,222.43257820699296
2025-04-07,114909.49,117601.62,117601.62,110103.98,389420000.0,-3.27,45.729557622938174,116971.87970478085,115992.64551109135,979.2341936894954,1031.950135473084,-52.715941783588505
2025-04-08,115532.43,115800.77,116692.29,115560.91,338910000.0,0.54,48.42545554032251,116750.42590404533,115958.55547323273,791.8704308126034,983.934194540988,-192.06376372838452
