Date,Close,Open,High,Low,Volume,Change
2015-10-09,33843.18,33588.34,33959.98,33584.79,158180000.0,1.12
2015-10-12,34183.85,33851.35,34252.47,33851.35,117810000.0,1.01
2015-10-13,34031.78,34095.52,34279.42,34010.35,123310000.0,-0.44
2015-10-14,33974.85,34031.48,34127.44,33896.4,77070000.0,-0.17
2015-10-15,33921.96,34013.68,34159.82,33920.47,76990000.0,-0.16
2015-10-16,33954.98,33946.8,34015.18,33800.55,82380000.0,0.1
2015-10-19,33966.75,33972.0,34077.14,33953.22,81320000.0,0.03
2015-10-20,33910.17,33974.07,34040.2,33898.47,90490000.0,-0.17
2015-10-21,33943.74,33950.89,34036.16,33859.41,75790000.0,0.1
2015-10-22,33945.32,33971.62,34041.24,33923.2,98210000.0,0.0
2015-10-26,33860.64,33946.33,34090.16,33849.71,82670000.0,-0.25
2015-10-27,33843.83,33863.08,33925.08,33740.31,70800000.0,-0.05
2015-10-28,34061.42,33852.97,34111.5,33852.97,88640000.0,0.64
2015-10-29,34332.43,34178.08,34359.2,34178.08,117500000.0,0.8
2015-10-30,34261.6,34430.08,34464.25,34239.0,119550000.0,-0.21
2015-11-02,34226.12,34303.52,34396.26,34198.0,69810000.0,-0.1
2015-11-03,34275.75,34245.11,34332.55,34233.84,81990000.0,0.15
2015-11-04,34522.95,34280.31,34565.17,34280.31,120980000.0,0.72
2015-11-05,34454.59,34544.05,34562.01,34434.15,126190000.0,-0.2
2015-11-06,34426.75,34477.15,34517.71,34404.87,182290000.0,-0.08
2015-11-09,34336.47,34437.37,34459.34,34310.74,129509999.99999999,-0.26
2015-11-10,33958.12,34350.32,34359.05,33945.46,118240000.0,-1.1
2015-11-11,33934.04,33917.85,33969.68,33687.98,82710000.0,-0.07
2015-11-12,34264.56,33975.71,34306.53,33975.71,95690000.0,0.97
2015-11-13,34144.78,34275.77,34275.77,34133.08,65440000.0,-0.35
2015-11-16,33946.41,34086.94,34086.94,33887.07,56300000.0,-0.58
2015-11-17,34065.87,33970.47,34168.76,33970.47,68810000.0,0.35
2015-11-18,33949.26,34092.66,34202.32,33936.05,66700000.0,-0.34
2015-11-19,33908.44,33956.64,34003.29,33900.22,48590000.0,-0.12
2015-11-20,33857.0,33921.65,34008.12,33835.88,64690000.0,-0.15
2015-11-23,33732.91,33875.41,33908.4,33719.25,73850000.0,-0.37
2015-11-24,33571.59,33752.97,33872.33,33567.09,96330000.0,-0.48
2015-11-25,33199.86,33602.98,33616.52,33125.55,90760000.0,-1.11
2015-11-26,33079.37,33252.84,33437.8,33055.96,85230000.0,-0.36
2015-11-27,32960.27,33079.53,33132.67,32820.28,81770000.0,-0.36
2015-11-30,32255.2,32978.57,32993.99,32195.31,88830000.0,-2.14
2015-12-01,31709.36,32263.56,32464.52,31666.11,110320000.0,-1.69
2015-12-02,32392.92,31796.08,32440.16,31672.23,115420000.0,2.16
2015-12-03,32565.14,32412.83,32630.11,32288.98,70950000.0,0.53
2015-12-04,32707.91,32593.64,32771.74,32571.77,70300000.0,0.44
2015-12-07,32853.54,32717.03,33010.22,32595.0,82750000.0,0.45
2015-12-08,32791.71,32813.33,33043.34,32747.59,124640000.0,-0.19
2015-12-09,33020.26,32791.87,33070.85,32791.87,117170000.0,0.7
2015-12-10,33211.92,33039.28,33320.92,33039.28,100220000.0,0.58
2015-12-11,33048.51,33225.98,33247.99,33033.37,130990000.00000001,-0.49
2015-12-14,32757.82,33033.92,33033.92,32497.42,100640000.0,-0.88
2015-12-15,32467.04,32846.55,32994.15,32420.44,96770000.0,-0.89
2015-12-16,32714.6,32535.11,32746.07,32535.11,107920000.0,0.76
2015-12-17,33109.54,32750.19,33162.05,32750.19,93420000.0,1.21
2015-12-18,32777.04,33157.73,33176.72,32745.32,73980000.0,-1.0
2015-12-21,32658.97,32743.49,32753.2,32490.25,54440000.0,-0.36
2015-12-22,32641.09,32771.32,32835.48,32617.47,53830000.0,-0.05
2015-12-23,32500.75,32682.49,32706.1,32489.58,71790000.0,-0.43
2015-12-28,32674.04,32561.2,32763.33,32560.26,84350000.0,0.53
2015-12-29,32811.89,32671.46,32952.42,32671.46,94820000.0,0.42
