date,title,url,raw_text
2020-01-05,An app to guide your next trip,https://www.dawn.com/news/1526361/an-app-to-guide-your-next-trip,"Planning a trip to the north but don’t know where to begin from? Or you have the cities in mind but are still clueless about all the tourist attractions to see? Maybe you want to find out some accommodation options? You are in luck because TripMate, a Peshawar-based startup, is trying to offer exactly this: a one-stop information portal to plan your tours."
2020-01-05,Stocks go bullish in first week of 2020,https://www.dawn.com/news/1526362/stocks-go-bullish-in-first-week-of-2020,"KARACHI: The New Year brought glad tidings for the stock market where the KSE-100 index logged gains of 1,475 points (3.61 per cent) and closed at 42,323, following a spectacular rally extending from the closing sessions of 2019."
2020-01-05,"Gold hits all-time high of Rs90,800",https://www.dawn.com/news/1526370/gold-hits-all-time-high-of-rs90800,"KARACHI: Local one-tola and 10g gold price hit an all time high at the start of New Year, rising to Rs90,800 and Rs77,846, respectively."
2020-01-05,Govt borrows Rs1.1tr from banks in six months,https://www.dawn.com/news/1526371/govt-borrows-rs11tr-from-banks-in-six-months,KARACHI: Government borrowing from the scheduled banks in the last week of December jumped by 55 per cent.
2020-01-05,Decline in imports behind massive revenue loss: FBR,https://www.dawn.com/news/1526329/decline-in-imports-behind-massive-revenue-loss-fbr,"ISLAMABAD: The national tax collecting body has acknowledged that collections remained behind the target by Rs114 billion during the six months of the current fiscal, despite the fact that the revenue collection was 16.3 per cent higher than the corresponding period of last year."
2020-01-06,"Crude and gold extend gains, stocks sink on fear of US-Iran war",https://www.dawn.com/news/1526616/crude-and-gold-extend-gains-stocks-sink-on-fear-of-us-iran-war,"Oil prices surged, gold hit a more than six-year high and most equities tumbled Monday after the US assassination last week of a top Iranian general fanned fears of a major conflict in the Middle East."
2020-01-06,People should brace themselves for another rough economic year ahead,https://www.dawn.com/news/1526422/hope-against-hope,"The economy shrank in 2019 as the policy of stabilisation was actively pursued. With the IMF package, the external sector was moderately managed and the rupee held its ground after a free fall. Higher taxes, falling wages, inflation and fewer jobs did test the endurance of households though. The political chaos, Chinese reluctance, IMF’s pressure and the lack of enthusiasm in the private sector were still adding to the worries. Keen to hold on to anything positive, people found little option, but to…"
2020-01-06,"Dr Abdul Hafeez Shaikh promises economic recovery, jobs in 2020",https://www.dawn.com/news/1526420/shaikh-promises-recovery-jobs,"THE PTI government is expecting 2020 to be the year of economic recovery and job creation with the support of higher development spending, beginning of the second phase of the China-Pakistan Economic Corridor (CPEC) and revival of investor confidence."
2020-01-06,PM asks regulators to issue licences quickly,https://www.dawn.com/news/1526566/pm-asks-regulators-to-issue-licences-quickly,"ISLAMABAD: In order to ensure ease of doing business, Prime Minis­ter Imran Khan on Sunday directed the cabinet division to devise separate mechanisms or standard operating procedures (SOPs) for regulatory authorities to ensure easy and time-bound issuance of licences, permissions or no objection certificates (NOCs) to the applicants."
2020-01-06,Consumers to pay for power losses under fresh proposal,https://www.dawn.com/news/1526555/consumers-to-pay-for-power-losses-under-fresh-proposal,"ISLAMABAD: To ensure a belated compliance with the targets of International Monetary Fund (IMF), the government is set to recover additional cost of losses from consumers by imposing new surcharges aimed at financing power sector loans and generate more than Rs250 billion in annual revenue."
2020-01-07,ECC okays amendments to Nepra Act,https://www.dawn.com/news/1526774/ecc-okays-amendments-to-nepra-act,"ISLAMABAD: With­drawing a couple of key amendments on the objections of the power regulator, the Economic Coordination Committee (ECC) of the Cabinet on Monday cleared amendments to the Regulation of Generation, Transmission and Distribution of Electronic Power Act 1997 to meet conditions of the International Monetary Fund (IMF)."
2020-01-07,"Bloodbath at PSX; index plunges 1,027 points",https://www.dawn.com/news/1526773/bloodbath-at-psx-index-plunges-1027-points,KARACHI: A staggering sum of Rs169 billion was wiped off the market capitalisation at the Pakistan Stock Exchange in a single day where 325 listed stocks bled profusely against just 28 scrips that managed to escape the carnage.
2020-01-07,4pc growth target to be missed: SBP,https://www.dawn.com/news/1526772/4pc-growth-target-to-be-missed-sbp,"KARACHI: Pakistan’s economy is unlikely to meet the GDP growth target of four per cent whereas inflation is expected to remain within the 11-12pc range, said the State Bank of Pakistan (SBP) in its first quarterly report of FY20 issued on Monday."
2020-01-07,Ecnec approves Rs261bn development projects,https://www.dawn.com/news/1526768/ecnec-approves-rs261bn-development-projects,"ISLAMABAD: The Executive Committee of the National Economic Council (Ecnec) on Monday approved six development projects with a total estimated cost of Rs216.4 billion, including a hefty 47 per cent increase in the cost of Tarbela 4th Extension Project."
2020-01-07,Cargo traffic suspended as goods transporters go on countrywide strike,https://www.dawn.com/news/1526705/cargo-traffic-suspended-as-goods-transporters-go-on-countrywide-strike,"KARACHI: Cargo supplies across the country came to a halt on Monday when goods transporters suspended their operations in protest over a hefty increase in fines, forcing the federal government to send in its top guns for holding talks to resolve the crisis."
2020-01-07,"Centre, Sindh agree to streamline gas supplies",https://www.dawn.com/news/1526750/centre-sindh-agree-to-streamline-gas-supplies,"ISLAMABAD: In a major development, the centre on Monday claimed to have secured a broad agreement with the Sindh government for introduction of a significantly higher weighted average cost of natural gas and imported liquefied natural gas (LNG) in future to streamline supplies."
